customer_id,first_name,last_name,email,city,is_active
C0001,User1,Test1,user1@example.com,Nantes,yes
C0002,User2,Test2,user2@example.com,Toulouse,yes
C0003,User3,Test3,user3@example.com,Bordeaux,y
C0004,User4,Test4,user4@example.com,Bordeaux,true
C0005,User5,Test5,user5@example.com,Lyon,true
C0006,User6,Test6,user6@example.com,Marseille,false
C0007,User7,Test7,user7@example.com,Toulouse,true
C0008,User8,Test8,user8@example.com,Marseille,false
C0009,User9,Test9,user9@example.com,Toulouse,false
C0010,User10,Test10,user10@example.com,Bordeaux,true
C0011,User11,Test11,user11@example.com,Lyon,true
C0012,User12,Test12,user12@example.com,Toulouse,f
C0013,User13,Test13,user13@example.com,Marseille,false
C0014,User14,Test14,user14@example.com,Paris,true
C0015,User15,Test15,user15@example.com,Paris,true
C0016,User16,Test16,user16@example.com,Lille,true
C0017,User17,Test17,user17@example.com,Paris,true
C0018,User18,Test18,user18@example.com,Marseille,true
C0019,User19,Test19,user19@example.com,Bordeaux,true
C0020,User20,Test20,user20@example.com,Marseille,true
C0021,User21,Test21,user21@example.com,Toulouse,true
C0022,User22,Test22,user22@example.com,Nice,true
C0023,User23,Test23,user23@example.com,Nice,true
C0024,User24,Test24,user24@example.com,Marseille,true
C0025,User25,Test25,user25@example.com,Marseille,false
C0026,User26,Test26,user26@example.com,Lille,true
C0027,User27,Test27,user27@example.com,Nantes,true
C0028,User28,Test28,user28@example.com,Lille,true
C0029,User29,Test29,user29@example.com,Bordeaux,true
C0030,User30,Test30,user30@example.com,Toulouse,true
C0031,User31,Test31,user31@example.com,Nantes,true
C0032,User32,Test32,user32@example.com,Nice,true
C0033,User33,Test33,user33@example.com,Bordeaux,true
C0034,User34,Test34,user34@example.com,Nantes,true
C0035,User35,Test35,user35@example.com,Nantes,true
C0036,User36,Test36,user36@example.com,Nice,false
C0037,User37,Test37,user37@example.com,Bordeaux,true
C0038,User38,Test38,user38@example.com,Nice,true
C0039,User39,Test39,user39@example.com,Bordeaux,false
C0040,User40,Test40,user40@example.com,Lille,true
C0041,User41,Test41,user41@example.com,Nice,true
C0042,User42,Test42,user42@example.com,Toulouse,true
C0043,User43,Test43,user43@example.com,Nantes,false
C0044,User44,Test44,user44@example.com,Nice,true
C0045,User45,Test45,user45@example.com,Bordeaux,true
C0046,User46,Test46,user46@example.com,Marseille,true
C0047,User47,Test47,user47@example.com,Paris,true
C0048,User48,Test48,user48@example.com,Toulouse,true
C0049,User49,Test49,user49@example.com,Nice,false
C0050,User50,Test50,user50@example.com,Nice,true
C0051,User51,Test51,user51@example.com,Lille,true
C0052,User52,Test52,user52@example.com,Toulouse,true
C0053,User53,Test53,user53@example.com,Lille,true
C0054,User54,Test54,user54@example.com,Nantes,true
C0055,User55,Test55,user55@example.com,Toulouse,true
C0056,User56,Test56,user56@example.com,Paris,false
C0057,User57,Test57,user57@example.com,Paris,true
C0058,User58,Test58,user58@example.com,Marseille,false
C0059,User59,Test59,user59@example.com,Paris,true
C0060,User60,Test60,user60@example.com,Lyon,true
C0061,User61,Test61,user61@example.com,Nantes,true
C0062,User62,Test62,user62@example.com,Nantes,true
C0063,User63,Test63,user63@example.com,Lyon,true
C0064,User64,Test64,user64@example.com,Toulouse,true
C0065,User65,Test65,user65@example.com,Toulouse,true
C0066,User66,Test66,user66@example.com,Toulouse,false
C0067,User67,Test67,user67@example.com,Bordeaux,true
C0068,User68,Test68,user68@example.com,Nice,true
C0069,User69,Test69,user69@example.com,Nantes,true
C0070,User70,Test70,user70@example.com,Bordeaux,false
C0071,User71,Test71,user71@example.com,Paris,true
C0072,User72,Test72,user72@example.com,Nantes,true
C0073,User73,Test73,user73@example.com,Bordeaux,true
C0074,User74,Test74,user74@example.com,Toulouse,true
C0075,User75,Test75,user75@example.com,Lille,true
C0076,User76,Test76,user76@example.com,Nantes,true
C0077,User77,Test77,user77@example.com,Bordeaux,true
C0078,User78,Test78,user78@example.com,Nice,true
C0079,User79,Test79,user79@example.com,Lille,false
C0080,User80,Test80,user80@example.com,Bordeaux,true
C0081,User81,Test81,user81@example.com,Lille,true
C0082,User82,Test82,user82@example.com,Paris,true
C0083,User83,Test83,user83@example.com,Marseille,true
C0084,User84,Test84,user84@example.com,Nantes,true
C0085,User85,Test85,user85@example.com,Lyon,true
C0086,User86,Test86,user86@example.com,Lille,true
C0087,User87,Test87,user87@example.com,Bordeaux,true
C0088,User88,Test88,user88@example.com,Lille,true
C0089,User89,Test89,user89@example.com,Paris,true
C0090,User90,Test90,user90@example.com,Marseille,true
C0091,User91,Test91,user91@example.com,Nantes,true
C0092,User92,Test92,user92@example.com,Marseille,true
C0093,User93,Test93,user93@example.com,Toulouse,true
C0094,User94,Test94,user94@example.com,Marseille,true
C0095,User95,Test95,user95@example.com,Nice,true
C0096,User96,Test96,user96@example.com,Lyon,true
C0097,User97,Test97,user97@example.com,Lille,true
C0098,User98,Test98,user98@example.com,Marseille,true
C0099,User99,Test99,user99@example.com,Nantes,true
C0100,User100,Test100,user100@example.com,Nantes,true
C0101,User101,Test101,user101@example.com,Nantes,false
C0102,User102,Test102,user102@example.com,Bordeaux,true
C0103,User103,Test103,user103@example.com,Marseille,true
C0104,User104,Test104,user104@example.com,Nice,true
C0105,User105,Test105,user105@example.com,Lyon,true
C0106,User106,Test106,user106@example.com,Nantes,true
C0107,User107,Test107,user107@example.com,Bordeaux,true
C0108,User108,Test108,user108@example.com,Bordeaux,true
C0109,User109,Test109,user109@example.com,Marseille,true
C0110,User110,Test110,user110@example.com,Paris,true
C0111,User111,Test111,user111@example.com,Nantes,false
C0112,User112,Test112,user112@example.com,Toulouse,true
C0113,User113,Test113,user113@example.com,Bordeaux,true
C0114,User114,Test114,user114@example.com,Paris,true
C0115,User115,Test115,user115@example.com,Lyon,true
C0116,User116,Test116,user116@example.com,Nice,true
C0117,User117,Test117,user117@example.com,Paris,true
C0118,User118,Test118,user118@example.com,Nice,true
C0119,User119,Test119,user119@example.com,Nantes,true
C0120,User120,Test120,user120@example.com,Paris,false
C0121,User121,Test121,user121@example.com,Bordeaux,true
C0122,User122,Test122,user122@example.com,Paris,true
C0123,User123,Test123,user123@example.com,Marseille,true
C0124,User124,Test124,user124@example.com,Marseille,false
C0125,User125,Test125,user125@example.com,Marseille,true
C0126,User126,Test126,user126@example.com,Marseille,true
C0127,User127,Test127,user127@example.com,Nantes,true
C0128,User128,Test128,user128@example.com,Toulouse,true
C0129,User129,Test129,user129@example.com,Lyon,true
C0130,User130,Test130,user130@example.com,Nantes,true
C0131,User131,Test131,user131@example.com,Toulouse,true
C0132,User132,Test132,user132@example.com,Paris,true
C0133,User133,Test133,user133@example.com,Lyon,true
C0134,User134,Test134,user134@example.com,Paris,true
C0135,User135,Test135,user135@example.com,Paris,true
C0136,User136,Test136,user136@example.com,Nice,true
C0137,User137,Test137,user137@example.com,Bordeaux,true
C0138,User138,Test138,user138@example.com,Nantes,true
C0139,User139,Test139,user139@example.com,Nice,true
C0140,User140,Test140,user140@example.com,Bordeaux,true
C0141,User141,Test141,user141@example.com,Lyon,true
C0142,User142,Test142,user142@example.com,Lille,false
C0143,User143,Test143,user143@example.com,Bordeaux,true
C0144,User144,Test144,user144@example.com,Lyon,true
C0145,User145,Test145,user145@example.com,Bordeaux,true
C0146,User146,Test146,user146@example.com,Marseille,true
C0147,User147,Test147,user147@example.com,Nice,true
C0148,User148,Test148,user148@example.com,Nice,true
C0149,User149,Test149,user149@example.com,Marseille,true
C0150,User150,Test150,user150@example.com,Lille,true
C0151,User151,Test151,user151@example.com,Marseille,true
C0152,User152,Test152,user152@example.com,Paris,true
C0153,User153,Test153,user153@example.com,Toulouse,true
C0154,User154,Test154,user154@example.com,Bordeaux,true
C0155,User155,Test155,user155@example.com,Toulouse,false
C0156,User156,Test156,user156@example.com,Lille,true
C0157,User157,Test157,user157@example.com,Paris,true
C0158,User158,Test158,user158@example.com,Nantes,true
C0159,User159,Test159,user159@example.com,Paris,true
C0160,User160,Test160,user160@example.com,Marseille,true
C0161,User161,Test161,user161@example.com,Bordeaux,true
C0162,User162,Test162,user162@example.com,Nice,true
C0163,User163,Test163,user163@example.com,Marseille,true
C0164,User164,Test164,user164@example.com,Toulouse,true
C0165,User165,Test165,user165@example.com,Toulouse,true
C0166,User166,Test166,user166@example.com,Marseille,true
C0167,User167,Test167,user167@example.com,Bordeaux,true
C0168,User168,Test168,user168@example.com,Lyon,true
C0169,User169,Test169,user169@example.com,Nice,true
C0170,User170,Test170,user170@example.com,Lyon,true
C0171,User171,Test171,user171@example.com,Lille,true
C0172,User172,Test172,user172@example.com,Bordeaux,true
C0173,User173,Test173,user173@example.com,Marseille,true
C0174,User174,Test174,user174@example.com,Bordeaux,false
C0175,User175,Test175,user175@example.com,Lille,false
C0176,User176,Test176,user176@example.com,Paris,true
C0177,User177,Test177,user177@example.com,Paris,true
C0178,User178,Test178,user178@example.com,Lille,true
C0179,User179,Test179,user179@example.com,Nice,true
C0180,User180,Test180,user180@example.com,Bordeaux,true
C0181,User181,Test181,user181@example.com,Paris,true
C0182,User182,Test182,user182@example.com,Bordeaux,true
C0183,User183,Test183,user183@example.com,Lyon,true
C0184,User184,Test184,user184@example.com,Lille,false
C0185,User185,Test185,user185@example.com,Marseille,false
C0186,User186,Test186,user186@example.com,Bordeaux,true
C0187,User187,Test187,user187@example.com,Nantes,true
C0188,User188,Test188,user188@example.com,Toulouse,true
C0189,User189,Test189,user189@example.com,Lille,true
C0190,User190,Test190,user190@example.com,Lyon,true
C0191,User191,Test191,user191@example.com,Marseille,true
C0192,User192,Test192,user192@example.com,Paris,true
C0193,User193,Test193,user193@example.com,Paris,true
C0194,User194,Test194,user194@example.com,Lille,true
C0195,User195,Test195,user195@example.com,Marseille,true
C0196,User196,Test196,user196@example.com,Paris,true
C0197,User197,Test197,user197@example.com,Lyon,true
C0198,User198,Test198,user198@example.com,Lyon,false
C0199,User199,Test199,user199@example.com,Marseille,true
C0200,User200,Test200,user200@example.com,Marseille,true
C0201,User201,Test201,user201@example.com,Bordeaux,true
C0202,User202,Test202,user202@example.com,Toulouse,true
C0203,User203,Test203,user203@example.com,Toulouse,true
C0204,User204,Test204,user204@example.com,Lille,true
C0205,User205,Test205,user205@example.com,Marseille,true
C0206,User206,Test206,user206@example.com,Paris,true
C0207,User207,Test207,user207@example.com,Nantes,true
C0208,User208,Test208,user208@example.com,Paris,false
C0209,User209,Test209,user209@example.com,Lille,true
C0210,User210,Test210,user210@example.com,Lyon,false
C0211,User211,Test211,user211@example.com,Toulouse,true
C0212,User212,Test212,user212@example.com,Lille,true
C0213,User213,Test213,user213@example.com,Lille,false
C0214,User214,Test214,user214@example.com,Paris,true
C0215,User215,Test215,user215@example.com,Nice,false
C0216,User216,Test216,user216@example.com,Nantes,true
C0217,User217,Test217,user217@example.com,Nantes,true
C0218,User218,Test218,user218@example.com,Lille,true
C0219,User219,Test219,user219@example.com,Paris,false
C0220,User220,Test220,user220@example.com,Toulouse,false
C0221,User221,Test221,user221@example.com,Lille,true
C0222,User222,Test222,user222@example.com,Marseille,true
C0223,User223,Test223,user223@example.com,Lyon,false
C0224,User224,Test224,user224@example.com,Bordeaux,true
C0225,User225,Test225,user225@example.com,Lyon,true
C0226,User226,Test226,user226@example.com,Lille,true
C0227,User227,Test227,user227@example.com,Marseille,false
C0228,User228,Test228,user228@example.com,Paris,true
C0229,User229,Test229,user229@example.com,Toulouse,true
C0230,User230,Test230,user230@example.com,Nice,true
C0231,User231,Test231,user231@example.com,Paris,false
C0232,User232,Test232,user232@example.com,Toulouse,true
